caminho,nome,tipo,url
Estimativas_de_Populacao/Estimativas_2000,Estimativas_2000,pasta,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2000
Estimativas_de_Populacao/Estimativas_2000/Leia_me.txt,Leia_me.txt,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2000/Leia_me.txt
Estimativas_de_Populacao/Estimativas_2000/UF_Municipio.zip,UF_Municipio.zip,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2000/UF_Municipio.zip
Estimativas_de_Populacao/Estimativas_2001,Estimativas_2001,pasta,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2001
Estimativas_de_Populacao/Estimativas_2001/Leia_me.txt,Leia_me.txt,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2001/Leia_me.txt
Estimativas_de_Populacao/Estimativas_2001/UF_Municipio.zip,UF_Municipio.zip,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2001/UF_Municipio.zip
Estimativas_de_Populacao/Estimativas_2002,Estimativas_2002,pasta,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2002
Estimativas_de_Populacao/Estimativas_2002/leia_me.txt,leia_me.txt,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2002/leia_me.txt
Estimativas_de_Populacao/Estimativas_2002/Metodologia_Simplificada.zip,Metodologia_Simplificada.zip,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2002/Metodologia_Simplificada.zip
Estimativas_de_Populacao/Estimativas_2002/UF_Municipio.zip,UF_Municipio.zip,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2002/UF_Municipio.zip
Estimativas_de_Populacao/Estimativas_2003,Estimativas_2003,pasta,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2003
Estimativas_de_Populacao/Estimativas_2003/UF_Municipio.zip,UF_Municipio.zip,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2003/UF_Municipio.zip
Estimativas_de_Populacao/Estimativas_2004,Estimativas_2004,pasta,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2004
Estimativas_de_Populacao/Estimativas_2004/Taxas_Anuais.zip,Taxas_Anuais.zip,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2004/Taxas_Anuais.zip
Estimativas_de_Populacao/Estimativas_2004/UF_Municipio.zip,UF_Municipio.zip,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2004/UF_Municipio.zip
Estimativas_de_Populacao/Estimativas_2005,Estimativas_2005,pasta,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2005
Estimativas_de_Populacao/Estimativas_2005/UF_Municipio.zip,UF_Municipio.zip,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2005/UF_Municipio.zip
Estimativas_de_Populacao/Estimativas_2006,Estimativas_2006,pasta,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2006
Estimativas_de_Populacao/Estimativas_2006/UF_Municipio.zip,UF_Municipio.zip,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2006/UF_Municipio.zip
Estimativas_de_Populacao/Estimativas_2008,Estimativas_2008,pasta,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2008
Estimativas_de_Populacao/Estimativas_2008/UF_Municipio.zip,UF_Municipio.zip,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2008/UF_Municipio.zip
Estimativas_de_Populacao/Estimativas_2009,Estimativas_2009,pasta,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2009
Estimativas_de_Populacao/Estimativas_2009/UF_Municipio.zip,UF_Municipio.zip,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2009/UF_Municipio.zip
Estimativas_de_Populacao/Estimativas_2011,Estimativas_2011,pasta,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2011
Estimativas_de_Populacao/Estimativas_2011/POP2011_DOU.zip,POP2011_DOU.zip,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2011/POP2011_DOU.zip
Estimativas_de_Populacao/Estimativas_2011/tab_Brasil_UF.zip,tab_Brasil_UF.zip,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2011/tab_Brasil_UF.zip
Estimativas_de_Populacao/Estimativas_2011/tab_Municipios_TCU.zip,tab_Municipios_TCU.zip,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2011/tab_Municipios_TCU.zip
Estimativas_de_Populacao/Estimativas_2011/UF_Municipio.zip,UF_Municipio.zip,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2011/UF_Municipio.zip
Estimativas_de_Populacao/Estimativas_2012,Estimativas_2012,pasta,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2012
Estimativas_de_Populacao/Estimativas_2012/estimativa_2012_DOU_28_08_2012_ods.zip,estimativa_2012_DOU_28_08_2012_ods.zip,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2012/estimativa_2012_DOU_28_08_2012_ods.zip
Estimativas_de_Populacao/Estimativas_2012/estimativa_2012_DOU_28_08_2012_xls.zip,estimativa_2012_DOU_28_08_2012_xls.zip,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2012/estimativa_2012_DOU_28_08_2012_xls.zip
Estimativas_de_Populacao/Estimativas_2012/estimativa_2012_municipios.pdf,estimativa_2012_municipios.pdf,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2012/estimativa_2012_municipios.pdf
Estimativas_de_Populacao/Estimativas_2012/estimativa_2012_TCU_20170614.ods,estimativa_2012_TCU_20170614.ods,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2012/estimativa_2012_TCU_20170614.ods
Estimativas_de_Populacao/Estimativas_2012/estimativa_2012_TCU_20170614.pdf,estimativa_2012_TCU_20170614.pdf,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2012/estimativa_2012_TCU_20170614.pdf
Estimativas_de_Populacao/Estimativas_2012/estimativa_2012_TCU_20170614.xls,estimativa_2012_TCU_20170614.xls,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2012/estimativa_2012_TCU_20170614.xls
Estimativas_de_Populacao/Estimativas_2012/Populacao_BR_UF_31_10_2012.zip,Populacao_BR_UF_31_10_2012.zip,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2012/Populacao_BR_UF_31_10_2012.zip
Estimativas_de_Populacao/Estimativas_2012/Populacao_Municipios_31_10_2012.zip,Populacao_Municipios_31_10_2012.zip,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2012/Populacao_Municipios_31_10_2012.zip
Estimativas_de_Populacao/Estimativas_2012/serie_2001_2012_TCU.pdf,serie_2001_2012_TCU.pdf,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2012/serie_2001_2012_TCU.pdf
Estimativas_de_Populacao/Estimativas_2012/serie_2001_2012_TCU.xls,serie_2001_2012_TCU.xls,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2012/serie_2001_2012_TCU.xls
Estimativas_de_Populacao/Estimativas_2012/TAB_TCU_BR_e_UFs_ods.zip,TAB_TCU_BR_e_UFs_ods.zip,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2012/TAB_TCU_BR_e_UFs_ods.zip
Estimativas_de_Populacao/Estimativas_2012/TAB_TCU_Municipios_ods.zip,TAB_TCU_Municipios_ods.zip,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2012/TAB_TCU_Municipios_ods.zip
Estimativas_de_Populacao/Estimativas_2013,Estimativas_2013,pasta,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2013
Estimativas_de_Populacao/Estimativas_2013/estimativa_2013_dou_ods.zip,estimativa_2013_dou_ods.zip,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2013/estimativa_2013_dou_ods.zip
Estimativas_de_Populacao/Estimativas_2013/estimativa_2013_dou_xls.zip,estimativa_2013_dou_xls.zip,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2013/estimativa_2013_dou_xls.zip
Estimativas_de_Populacao/Estimativas_2013/estimativa_2013_dou.pdf,estimativa_2013_dou.pdf,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2013/estimativa_2013_dou.pdf
Estimativas_de_Populacao/Estimativas_2013/estimativa_2013_TCU_20170614.ods,estimativa_2013_TCU_20170614.ods,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2013/estimativa_2013_TCU_20170614.ods
Estimativas_de_Populacao/Estimativas_2013/estimativa_2013_TCU_20170614.pdf,estimativa_2013_TCU_20170614.pdf,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2013/estimativa_2013_TCU_20170614.pdf
Estimativas_de_Populacao/Estimativas_2013/estimativa_2013_TCU_20170614.xls,estimativa_2013_TCU_20170614.xls,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2013/estimativa_2013_TCU_20170614.xls
Estimativas_de_Populacao/Estimativas_2013/retificacao_estimativa_2013_dou.pdf,retificacao_estimativa_2013_dou.pdf,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2013/retificacao_estimativa_2013_dou.pdf
Estimativas_de_Populacao/Estimativas_2013/serie_2001_2013_TCU.pdf,serie_2001_2013_TCU.pdf,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2013/serie_2001_2013_TCU.pdf
Estimativas_de_Populacao/Estimativas_2013/serie_2001_2013_TCU.xls,serie_2001_2013_TCU.xls,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2013/serie_2001_2013_TCU.xls
Estimativas_de_Populacao/Estimativas_2014,Estimativas_2014,pasta,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2014
Estimativas_de_Populacao/Estimativas_2014/estimativa_dou_2014_ods.zip,estimativa_dou_2014_ods.zip,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2014/estimativa_dou_2014_ods.zip
Estimativas_de_Populacao/Estimativas_2014/estimativa_dou_2014_xls.zip,estimativa_dou_2014_xls.zip,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2014/estimativa_dou_2014_xls.zip
Estimativas_de_Populacao/Estimativas_2014/estimativa_dou_2014.pdf,estimativa_dou_2014.pdf,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2014/estimativa_dou_2014.pdf
Estimativas_de_Populacao/Estimativas_2014/estimativa_TCU_2014_20170614.ods,estimativa_TCU_2014_20170614.ods,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2014/estimativa_TCU_2014_20170614.ods
Estimativas_de_Populacao/Estimativas_2014/estimativa_TCU_2014_20170614.pdf,estimativa_TCU_2014_20170614.pdf,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2014/estimativa_TCU_2014_20170614.pdf
Estimativas_de_Populacao/Estimativas_2014/estimativa_TCU_2014_20170614.xls,estimativa_TCU_2014_20170614.xls,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2014/estimativa_TCU_2014_20170614.xls
Estimativas_de_Populacao/Estimativas_2014/retificacao_estimativa_2014_dou.pdf,retificacao_estimativa_2014_dou.pdf,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2014/retificacao_estimativa_2014_dou.pdf
Estimativas_de_Populacao/Estimativas_2014/serie_2001_2014_TCU.pdf,serie_2001_2014_TCU.pdf,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2014/serie_2001_2014_TCU.pdf
Estimativas_de_Populacao/Estimativas_2014/serie_2001_2014_TCU.xls,serie_2001_2014_TCU.xls,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2014/serie_2001_2014_TCU.xls
Estimativas_de_Populacao/Estimativas_2015,Estimativas_2015,pasta,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2015
Estimativas_de_Populacao/Estimativas_2015/estimativa_dou_2015_20150915.ods,estimativa_dou_2015_20150915.ods,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2015/estimativa_dou_2015_20150915.ods
Estimativas_de_Populacao/Estimativas_2015/estimativa_dou_2015_20150915.pdf,estimativa_dou_2015_20150915.pdf,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2015/estimativa_dou_2015_20150915.pdf
Estimativas_de_Populacao/Estimativas_2015/estimativa_dou_2015_20150915.xls,estimativa_dou_2015_20150915.xls,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2015/estimativa_dou_2015_20150915.xls
Estimativas_de_Populacao/Estimativas_2015/estimativa_TCU_2015_20170614.ods,estimativa_TCU_2015_20170614.ods,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2015/estimativa_TCU_2015_20170614.ods
Estimativas_de_Populacao/Estimativas_2015/estimativa_TCU_2015_20170614.pdf,estimativa_TCU_2015_20170614.pdf,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2015/estimativa_TCU_2015_20170614.pdf
Estimativas_de_Populacao/Estimativas_2015/estimativa_TCU_2015_20170614.xls,estimativa_TCU_2015_20170614.xls,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2015/estimativa_TCU_2015_20170614.xls
Estimativas_de_Populacao/Estimativas_2015/serie_2001_2015_TCU.pdf,serie_2001_2015_TCU.pdf,arquivo,https://ftp.ibge.gov.br/Estimativas_de_Populacao/Estimativas_2015/serie_2001_2015_TCU.pdf
